ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
MINISTERIO DE LA PRODUCCIÓN (PRODUCE) VER TODAS LAS DJIS,MINISTRO DE LA PRODUCCIÓN,PEREZ REYES ESPEJO RAUL RICARDO,FIRMADA 29/10/2018,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=3674&llave=RMK9DKUF&idet=1
MINISTERIO DE LA PRODUCCIÓN (PRODUCE) VER TODAS LAS DJIS,MINISTRO,SALARDI RODRIGUEZ JOSE ANTONIO,FIRMADA 11/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=23405&llave=ZMACIJC1&idet=1
MINISTERIO DE LA PRODUCCIÓN (PRODUCE) VER TODAS LAS DJIS,MINISTRO,MIRANDA EYZAGUIRRE MARIO ALFONSO,null,null
MINISTERIO DE TRANSPORTES Y COMUNICACIONES (MTC) VER TODAS LAS DJIS,MINISTRO DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONES,TRUJILLO MORI EDMER,FIRMADA 04/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21333&llave=KFEOZMLD&idet=3
MINISTERIO DE TRANSPORTES Y COMUNICACIONES (MTC) VER TODAS LAS DJIS,MINISTRA DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONES,JARA RISCO MARIA ESPERANZA,FIRMADA 18/10/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=21172&llave=CBLWJWKE&idet=1
MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA) VER TODAS LAS DJIS,MINISTRO DEL MINISTERIO DE VIVIENDA; CONSTRUCCION Y SANEAMIENTO,LOZADA CONTRERAS CARLOS EDUARDO,FIRMADA 10/11/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=47623&llave=QXQZDXUH&idet=1
MINISTERIO DE TRANSPORTES Y COMUNICACIONES (MTC) VER TODAS LAS DJIS,MINISTRO DE TRANSPORTES Y COMUNICACIONES,ESTREMADOYRO MORY CARLOS CESAR ARTURO,FIRMADA 07/08/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=32708&llave=THNEKBAU&idet=1
MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA) VER TODAS LAS DJIS,MINISTRO DEL MINISTERIO DE VIVIENDA; CONTRUCCION Y SANEAMIENTO,PIQUE DEL POZO JAVIER ROMAN,FIRMADA 19/03/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=13090&llave=FXDQ71CO&idet=1
MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA) VER TODAS LAS DJIS,MINISTRO,BRUCE MONTES DE OCA CARLOS RICARDO,FIRMADA 15/05/2019,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=15004&llave=DWK8GUBC&idet=1
MINISTERIO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO (VIVIENDA) VER TODAS LAS DJIS,MINISTRO DE ESTADO EN EL DESPACHO DE VIVIENDA; CONSTRUCCIÓN Y SANEAMIENTO,ESTRADA MENDOZA MIGUEL LUIS,FIRMADA 16/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=32483&llave=NTRXVPUP&idet=1
