ENTIDAD,PUESTO,NOMBRE_COMPLETO,DJI_ESTADO,DJI_REF
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL AREA DE PROCURADURIA,LA CHIRA CARREÑO NESTOR LUIS,FIRMADA 17/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33187&llave=JW3PSUCG&idet=1
CONGRESO DE LA REPÚBLICA,ASESOR,LANDAZURI CONCHA EDUARDO RAFAEL,null,null
CONGRESO DE LA REPÚBLICA,JEFE DE DEPARTAMENTO DE RELATORIA Y AGENDA,LASTRES BLANCO GIULIANA ZENAIDA,FIRMADA 14/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=32989&llave=OTZCAMR5&idet=1
CONGRESO DE LA REPÚBLICA,PROFESIONAL DEL AREA DE PROCURADURIA,LAU MORALES JORGE ANTONIO,FIRMADA 06/03/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=35575&llave=TQ39KE5L&idet=1
CONGRESO DE LA REPÚBLICA,CONGRESISTA,LAZO VILLON LESLYE CAROL,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,LEON ROMERO LUCIANA MILAGROS,FIRMADA 21/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33954&llave=LNI2J90C&idet=1
CONGRESO DE LA REPÚBLICA,PROCURADOR,LEVANO GAMARRA EDWIN,FIRMADA 18/02/2020,https://dji.pide.gob.pe/consultas-dji/descarga.php?cod=33371&llave=HBRFP8CK&idet=1
CONGRESO DE LA REPÚBLICA,JEFE DE AREA DE REDACCION DE ACTAS,LIZAMA HUAMANI LUIS ENRIQUE,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,LIZANA SANTOS MARTIRES,null,null
CONGRESO DE LA REPÚBLICA,CONGRESISTA,LIZARRAGA HOUGHTON CAROLINA,null,null
